id,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630020232,230998,249346,235859,266533,247179,250364,251159,242534,257936,254942,231639,235564,226403,241698,214691,264000
370630020241,250363,243594,201353,237562,217879,216142,214198,222792,204551,214332,197115,219129,225330,224696,217253,229000
370630020242,170828,173222,172965,168675,175800,168110,166760,165825,157347,157929,150342,134216,150220,139683,141420,155750
370630020243,186735,181342,178577,163525,179540,177116,189752,171184,135431,142700,175399,136545,145928,143083,135271,152500
370630020251,206791,225663,204654,218892,218815,243760,238063,231253,232649,234073,202405,203242,196359,212925,213154,215000
370630020252,177398,188447,204654,236274,188268,229951,223511,184720,176453,200795,199343,182699,187238,167244,159353,207750
370630020253,178090,173222,172965,173826,174553,160906,165305,164697,161561,164133,165655,161881,151293,138375,151411,163250
370630020261,130023,157321,202673,187024,155851,130586,144351,172594,173643,170902,148393,146816,150220,142560,142444,147500
370630020262,169444,162396,154481,176079,185774,181319,176656,172312,178701,156801,144774,142982,148342,134974,148081,151000
370630020271,146276,167133,167024,153868,167695,151299,171999,199385,215790,203333,197115,179138,201724,166102,197014,218500
370630020272,193651,198935,222808,215351,238140,220044,219437,205307,213542,205725,201570,183520,184556,188859,200857,203500
370630020273,,,,,,,,,,,,,139490,,,
370630020281,213016,202995,179567,220179,209775,190925,187715,191771,192750,196847,208809,197216,205479,198799,203931,239000
370630020282,,,,,,,,,419779,431484,452697,441545,486605,472933,391466,410000
370630020283,,,,,,,272405,227869,232649,227869,180689,213651,210576,230189,232625,248000
370630021001,325057,330205,413929,376301,321988,355433,369609,291604,306264,418793,296230,296646,247863,303431,313839,342500
370630021002,236531,303139,284865,230158,214451,233253,221183,249020,245857,265095,203864,282128,283272,239082,269517,238500
370630021003,322982,322085,273972,339282,305468,315016,309656,259454,280977,294988,232195,218922,298294,307616,251071,263500
370630022001,103741,114016,96055,92063,93822,105669,236026,91373,178139,265095,37307,164347,225062,217110,295136,293000
370630023001,72619,73078,62848,79831,72938,43228,56751,35534,25288,31868,25335,32869,44261,65395,199832,204500
370630023002,72619,87965,79221,75582,47690,81053,,87989,91036,91937,109137,,,86844,66098,35630
370639801001,,,,,,,,,,,,,,,,
