id,y_2010,y_2012,y_2014,y_2015,y_2016,y_2017,y_2018
272,94,364,187,42,437,54,269
273,315,731,427,82,842,205,676
274,78,300,117,23,291,57,235
275,555,989,640,284,1097,379,832
276,511,976,585,199,1004,344,794
277,363,750,541,157,1105,344,1036
278,173,588,263,56,642,109,428
279,259,631,322,89,667,137,474
280,170,431,215,55,447,75,271
281,180,392,208,44,432,111,319
282,309,620,373,104,624,178,477
283,626,1179,695,227,1256,379,970
284,311,477,349,127,574,137,462
285,,,,,,,
286,89,202,104,7,188,12,116
287,260,703,321,46,880,119,584
288,723,1152,819,219,1233,356,1033
289,745,1527,779,218,1690,465,1295
290,125,283,156,52,236,69,163
291,156,526,224,43,483,81,288
292,101,356,175,29,354,48,190
293,137,404,205,53,394,83,237
294,167,442,226,70,400,110,284
295,277,616,346,102,565,139,383
296,374,577,496,182,969,188,468
297,191,304,222,121,303,159,267
298,122,397,160,20,406,35,146
299,523,1191,674,182,1357,333,1043
300,127,324,192,36,392,0,0
301,511,964,634,213,1142,364,851
302,744,1383,860,392,1431,544,1152
303,256,578,293,109,660,182,503
304,16,166,68,5,157,16,95
305,232,428,263,94,425,140,306
306,39,207,134,30,329,71,221
307,665,1269,751,230,1363,391,1020
308,270,584,323,106,576,159,507
309,467,888,584,184,944,306,787
310,512,1076,637,213,1063,386,927
311,366,685,414,190,630,257,450
312,209,520,243,69,551,101,348
313,260,580,306,80,591,145,416
314,271,683,358,158,623,207,448
315,165,356,232,103,665,232,613
316,467,941,494,168,955,231,597
317,151,383,203,56,323,89,206
318,558,925,605,291,950,335,706
319,615,1215,670,239,1209,367,921
320,345,610,391,196,638,322,547
321,201,572,284,89,501,119,323
322,286,511,303,111,503,156,368
323,569,1108,602,189,1024,280,690
324,609,1004,661,276,1016,413,820
325,765,1211,810,362,1242,427,955
326,179,476,233,78,421,113,279
327,236,627,288,69,533,98,345
328,279,481,302,112,450,181,377
329,461,932,553,178,893,288,721
330,404,840,493,163,865,260,593
331,213,489,268,71,561,145,503
332,334,791,466,137,857,224,632
333,646,1271,767,266,1293,418,977
334,23,94,33,6,65,8,41
335,766,1433,1005,302,1659,554,1481
336,769,1817,1005,263,2077,480,1540
337,485,935,563,189,1010,315,797
338,146,681,310,60,835,150,632
339,104,454,219,50,870,118,682
340,947,2332,1314,488,3171,539,1590
341,490,1634,613,212,1386,190,537
342,71,196,116,41,332,106,262
343,340,771,497,220,959,427,861
344,240,698,362,116,881,263,684
345,225,411,243,115,421,134,306
346,427,1096,573,151,1031,246,656
347,146,341,187,71,290,98,233
348,980,1575,1023,396,1596,608,1218
349,473,840,507,291,665,361,580
350,561,856,621,353,916,468,762
351,320,565,394,199,639,273,580
352,433,974,535,206,967,273,758
353,912,1534,1070,532,1572,753,1378
354,296,695,335,129,761,178,551
355,247,609,318,69,610,111,351
356,1250,2371,1476,558,2537,792,2118
357,746,1439,968,463,1578,615,1255
358,1039,1601,1191,641,2028,881,1691
359,962,1447,1024,554,1493,736,1375
360,937,1809,995,307,1902,504,1458
361,155,471,233,74,691,183,561
362,840,1751,977,350,1526,469,1014
363,445,1148,564,195,1044,240,687
